,House,Price,Ubication,Features
0,Casa En Venta En Lomas De Casablanca,"1,350,000","Juriquilla, Querétaro, Querétaro",[]
1,Casa Venta Juriquilla Queretaro Con Roof Garden,"3,300,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total144 m²', 'Superficie construida177 m²', 'Recámaras3', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
2,"Se Vende Preciosa Casa En El Refugio, Frente Al Parque, Estudio O 4ta Rec En Pb.","2,700,000","Cumbres Del Lago, Querétaro, QuerétaroVer información de la zona","['Superficie total135 m²', 'Superficie construida210 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
3,Casa Venta Juriquilla Cumbres Del Lago,"9,600,000","Lomas de Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total270 m²', 'Superficie construida357 m²', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad3 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
4,"Casa Con Diseño De Autor En Lomas De Juriquilla, 3 Niveles, 5 Recamaras, Lujo!","7,950,000","Cumbres del Cimatario, Querétaro, QuerétaroVer información de la zona","['Superficie total251 m²', 'Superficie construida431 m²', 'Recámaras5', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes11', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
5,"Preciosa Residencia En Cumbres Del Cimatario, 4 Niveles, Sótano, Jardín, Ctosev","6,250,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total300 m²', 'Superficie construida435 m²', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
6,"Residencia En Milenio Iii, Garage 4 Autos, Bar, Jardín, Jacuzzi, Cto Serv, Lujo","8,500,000","Lomas de Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total385 m²', 'Superficie construida730 m²', 'Recámaras4', 'Baños5', 'Estacionamientos4', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
7,"Residencia De Autor En Lomas De Juriquilla, Doble Altura, 4ta Recamara En Pb..","5,200,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total250 m²', 'Superficie construida300 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
8,"Venta Casas, Altozano Querétaro, Cond. Rio, Qro76. $16.1 Md","16,150,000","P.º Cta. Bonita 70, Cuesta Bonita, Querétaro, QuerétaroVer información de la zona","['Superficie total450 m²', 'Superficie construida1 m²', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
9,"Lc8 Casa, Colonia Cuesta Bonita, Querétaro, Querétaro.","607,929","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total100 m²', 'Superficie construida130 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento600 MXN']"
10,"Preciosa Residencia En Milenio, Roof Garden, Hermosa Vista, 4 Recamaras, Jardín.","3,780,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total166 m²', 'Superficie construida251 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
11,"Hermosa Casa Con Vista Espectacular En El Refugio, 4 Recamaras, Calidad De Vida!","7,850,000","Juriquilla, Querétaro, Querétaro","['no disponible', 'no disponible']"
12,"Estrena Casa En Juriquilla, San Isidro, Hermoso Diseño, Calidad De Vida.","3,300,000","Fracc. Sonterra, Querétaro, Querétaro","['Superficie total140 m²', 'Superficie construida178 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
13,"Se Vende Casa En Sonterra, 3 Recamaras, Una En Pb, Terraza Tipo Roof,  3.5 Baños","2,490,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total128 m²', 'Superficie construida124 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
14,"Preciosa Casa En Milenio Iii, C.223 M2, T.203 M2, 3 Recamaras, Jardín..","2,420,000","Residencial Parque La Gloria, Querétaro, QuerétaroVer información de la zona","['Superficie total111 m²', 'Superficie construida127 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
15,Casa En Venta En Haceinda La Gloria,"3,400,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total203 m²', 'Superficie construida223 m²', 'Recámaras3', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
16,"Preciosa Residencia En Milenio Iii, Estudio O 5ta Recamara, Mármol, 4 Baños...","3,300,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total151 m²', 'Superficie construida104 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Mantenimiento0 MXN']"
17,Casa En Venta En Juriquilla,"3,980,000","Cumbres Del Lago, Querétaro, Querétaro","['Superficie total189 m²', 'Superficie construida235 m²', 'Recámaras5', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
18,"Casa En Venta, Juriquilla, Qro.","2,160,500","Jurica, Querétaro, QuerétaroVer información de la zona","['Superficie total90 m²', 'Superficie construida109 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Mantenimiento0 MXN']"
19,A 5 Minutos De Plaza Antea Qro Casa Sophia B-e1,"6,230,000","Otros, Querétaro, QuerétaroVer información de la zona","['Superficie total270 m²', 'Superficie construida320 m²', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad3 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
20,Casa En Venta En Carlota Hacienda Vanegas,"5,650,000","Centro Sur, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
21,Casa En Venta En Claustro De La Catedral Centro Sur Querétaro,"6,297,000","Centro, Querétaro, QuerétaroVer información de la zona","['Superficie total150 m²', 'Superficie construida250 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Mantenimiento0 MXN']"
22,Casa En Venta En El Centro De Querétaro Con Uso De Suelo,"5,900,000","Juriquilla, Querétaro, Querétaro","['Superficie total200 m²', 'Superficie construida297 m²', 'Recámaras3', 'Baños2', 'Estacionamientos6', 'Es propiedad en remateNo', 'Antigüedad2 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
23,"En San Isidro Juriquilla, Lujo, 3 Recs, Estudio O 4ta Rec En P.b, 3 Baños, Lujo","5,500,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total180 m²', 'Superficie construida294 m²', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad18 años', 'Ambientes8', 'Bodegas0', 'Mantenimiento0 MXN']"
24,"Casa De Una Planta En Preserve Juriquilla, Casa Club, Hermoso Paisaje.","13,600,000","Juriquilla, Querétaro, Querétaro","['Superficie total315 m²', 'Superficie construida350 m²', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad41 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
25,"Casa De Una Planta En Preserve Juriquilla, Casa Club, Preciosos Paisajes","2,490,000","El Marqués Queretano, Querétaro, QuerétaroVer información de la zona","['Superficie total128 m²', 'Superficie construida178 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
26,Casa Venta Ciudad Maderas Queretaro,"2,850,000","Jurica, Querétaro, QuerétaroVer información de la zona","['Superficie total160 m²', 'Superficie construida94 m²', 'Recámaras2', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
27,"Linda Casa En Jurica De Una Planta, 3 Recamaras, Especial Para Adulto Mayor","2,850,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total160 m²', 'Superficie construida95 m²', 'Recámaras2', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
28,Casa En Venta En Condominio En Residencial El Refugio,"3,300,000","Alamos 2a Secc, Querétaro, QuerétaroVer información de la zona","['Superficie total120 m²', 'Superficie construida130 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
29,Oportunidad De Casa En Venta Alamos Ii Secc.,"4,480,000","Fracc. Sonterra, Querétaro, Querétaro","['Superficie total206 m²', 'Superficie construida205 m²', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
30,"Preciosa Casa En Sonterra, 3 Habitaciones, 2.5 Baños, Equipada, 2.5 Baños,.","2,850,000","Fracc. Sonterra, Querétaro, Querétaro","['Superficie total142 m²', 'Superficie construida141 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad8 años', 'Ambientes6', 'Bodegas0', 'Mantenimiento0 MXN']"
31,"Casa En Venta En La Meseta, Zona Sonterra, 3 Recamaras, Alberca, Hermosa!","5,600,000","Juriquilla, Querétaro, Querétaro","['Superficie total250 m²', 'Superficie construida313 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
32,Casa Venta  Juriquilla Queretaro Una Planta,"1,990,000","Fracc. Sonterra, Querétaro, Querétaro","['Superficie total110 m²', 'Superficie construida150 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
33,Casa Venta Sonterra,"2,830,000","Ciudad del Sol, Querétaro, QuerétaroVer información de la zona","['Superficie total112 m²', 'Superficie construida145 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
34,"Hermosa Casa De 3 Recamaras Y 3 Baños Completos, Estudio, Equipada En Querétaro","3,300,000","C. Fuerte De Navidad 1 - 300, Santiago, Querétaro, QuerétaroVer información de la zona","['Superficie total170 m²', 'Superficie construida95 m²', 'Recámaras2', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Ambientes5', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
35,"Sk05- Casas En Remates Bancarios C. Fuerte De Navidad Santiago De Querétaro, Qro.","351,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
36,"Estrena Residencia En Altozano, De Autor, 3 Recamaras, Sala Tv, Jardín, Luxury","2,250,000","Valle de Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total174 m²', 'Superficie construida120 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento550 MXN']"
37,Casa De Oportunidad En Venta En Juriquilla,"1,540,000","Juriquilla, Juriquilla Santa Fe, Querétaro, QuerétaroVer información de la zona","['Superficie total116 m²', 'Superficie construida116 m²', 'Recámaras3', 'Baños3', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
38,Casa De Una Planta En Santa Fe Juriquilla,"351,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total80 m²', 'Superficie construida65 m²', 'Recámaras1', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónNorte']"
39,"Preciosa Casa En Altozano, Jardín, 3 Recamaras, 3.5 Baños, Equipada, De Lujo !!","4,350,000","Juriquilla, Querétaro, Querétaro","['Superficie total180 m²', 'Superficie construida205 m²', 'Recámaras3', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
40,"Hermosa Casa En Grand Juriquilla, De Lujo, 3 Recamaras, 3 Autos, Jardín, T.189 M","6,435,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
41,"Venta Casas, Juriquilla, Recamara Planta Baja. Qro76 $4.1 Mdp","2,890,000","Centro, Querétaro, QuerétaroVer información de la zona","['Superficie total182 m²', 'Superficie construida178 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad5 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos3', 'Tipo de casaCasa', 'OrientaciónOriente', 'Mantenimiento0 MXN']"
42,"Casa En Venta En El Corazón De Querétaro,  Av. Los Arcos, Centro De Querétaro.","2,750,000","Juriquilla, Querétaro, Querétaro","['Superficie total291.18 m²', 'Superficie construida91.69 m²', 'Recámaras0', 'Baños1', 'Estacionamientos2', 'Es propiedad en remateNo']"
43,Exclusiva Casa En Venta En ¡bio Grand Juriquilla! Viva Con Calidad De Vida,"4,000,000",,"['Superficie total181 m²', 'Superficie construida221 m²', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
44,,"2,650,000",,"['Superficie total189 m²', 'Superficie construida170 m²', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
45,,"4,108,361",,"['Superficie total158 m²', 'Superficie construida158 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Mantenimiento0 MXN']"
46,,"351,000",,"['no disponible', 'no disponible']"
47,,"1,900,000",,"['Superficie total96 m²', 'Superficie construida67 m²', 'Recámaras2', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
48,,"5,650,000",,"['no disponible', 'no disponible']"
49,,"2,835,000",,"['Superficie total146 m²', 'Superficie construida144 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
