Price,Ubication,Total_Area_m^2,Built_Area_m^2,Bedrooms,Bathrooms,Parking,Neighborhood
5650000,Juriquilla,286,314,4,5,2,JURIQUILLA
1595000,Casa En Venta En Las Haciendas En Ciudad Del Sol,69,0,3,1,1,CIUDAD DEL SOL
11190000,Casa En Venta En Altozano,370,0,4,4,3,ALTOZANO
790000,"Blvd. Dolores Del Rio, La Joya",150,195,3,3,2,LA JOYA
849000,"Lago Eslabon 101, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",400,400,5,4,4,JURIQUILLA
849000,"Cerro El Divisadero 101, Privada Juriquilla, Santa Rosa Jauregui, Santa Rosa De Jauregui",330,330,4,3,2,SANTA ROSA DE JAUREGUI
749000,"Lago De Chapala 110, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",310,310,4,3,2,JURIQUILLA
849000,"Hacienda Montenegro 113, Villas Del Meson, Juriquilla, Villas Del Meson",560,560,4,3,3,VILLAS DEL MESON
849000,"Senda Del Rocio 24, Milenio Iii, , Milenio III",130,130,3,2,2,MILENIO III
849000,"Lago Chacamax 125, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",350,350,4,4,3,JURIQUILLA
607929,"P.º Cta. Bonita 70, Cuesta Bonita",100,130,3,3,2,CUESTA BONITA
3350000,"Av. Los Portones 1105, Alenas, Juriquilla, Valle de Juriquilla",128,168,4,4,2,VALLE DE JURIQUILLA
8725000,Fray Junipero Serra,272,323,4,5,3,FRAY JUNIPERO SERRA
10790000,La Vista Residencial,300,390,3,5,3,LA VISTA RESIDENCIAL
7000000,La Vista Residencial,300,300,3,5,3,LA VISTA RESIDENCIAL
10500000,Juriquilla,251,334,4,5,3,JURIQUILLA
11450000,Fray Junipero Serra,361,361,3,5,3,FRAY JUNIPERO SERRA
1849000,Ciudad del Sol,112,112,3,2,2,CIUDAD DEL SOL
4100000,Juriquilla,211,161,3,2,2,JURIQUILLA
4945000,Juriquilla Santa Fe,162,255,3,5,2,SANTA FE
4850000,"Real De Juriquilla (Paisano), Queretaro, Queretaro",160,255,4,4,2,REAL DE JURIQUILLA (PAISANO)
6435000,Cumbres del Cimatario,206,263,4,4,3,CIMATARIO
4500000,Paseos Del Pedregal,302,304,4,3,3,PASEOS DEL PEDREGAL
6500000,Juriquilla,280,320,3,4,4,JURIQUILLA
11190000,Lomas de Juriquilla,300,370,3,5,3,LOMAS DE JURIQUILLA
5980000,La Vista Residencial,250,286,3,4,3,LA VISTA RESIDENCIAL
6000000,Juriquilla,250,264,4,4,3,JURIQUILLA
12390000,Paseos Del Pedregal,310,405,3,5,3,PASEOS DEL PEDREGAL
10500000,El Campanario,512,366,3,3,3,EL CAMPANARIO
7040000,Paseos Del Pedregal,200,270,3,3,2,PASEOS DEL PEDREGAL
11200000,El Campanario,300,350,4,5,3,EL CAMPANARIO
7399000,"Cumbres Del Lago, Queretaro, Queretaro",200,272,3,4,3,CUMBRES DEL LAGO
4250000,Residencial El Refugio,122,177,3,3,2,EL REFUGIO
10500000,Residencial El Refugio,300,505,3,4,3,EL REFUGIO
4250000,El Campanario,146,193,3,3,2,EL CAMPANARIO
4990000,Milenio III,164,200,3,3,2,MILENIO III
19000000,Milenio III,723,652,5,6,8,MILENIO III
5150000,Paseos Del Pedregal,200,213,3,3,3,PASEOS DEL PEDREGAL
4750000,El Campanario,162,212,3,4,2,EL CAMPANARIO
7050000,"Nuevo Juriquilla, Queretaro, Queretaro",211,275,3,2,3,NUEVO JURIQUILLA
8162000,Residencial El Refugio,235,274,3,5,3,EL REFUGIO
3300000,"Covelina 3, 76269 Zibata, Qro., Mexico, Zibata, Queretaro, Queretaro",141,162,3,2,2,QUERETARO
3150000,Paseos Del Pedregal,144,160,3,2,2,PASEOS DEL PEDREGAL
5895000,"C. Del Creston 235, Satelite, 76110 , Qro., Mexico, Satelite",174,221,4,5,3,SATELITE
6750000,Anahuac,180,223,3,4,2,ANAHUAC
5895000,Residencial El Refugio,174,221,4,4,3,EL REFUGIO
2350000,Residencial El Refugio,165,217,5,3,1,EL REFUGIO
2577320,Paseos Del Pedregal,120,120,3,2,2,PASEOS DEL PEDREGAL
3643000,El Campanario,135,182,3,3,2,EL CAMPANARIO
3900000,El Marques,170,274,4,3,2,EL MARQUES
5950000,Paseos Del Pedregal,184,223,3,5,2,PASEOS DEL PEDREGAL
3300000,"Juriquilla, Queretaro, Queretaro",108,117,4,3,2,JURIQUILLA
2835000,Residencial El Refugio,138,128,3,2,2,EL REFUGIO
2900000,"Juriquilla, Queretaro, Queretaro",128,198,3,4,2,JURIQUILLA
2590000,El Campanario,128,120,3,2,2,EL CAMPANARIO
18000000,"Puerta La Vista, La Vista Residencial",800,634,4,4,6,LA VISTA RESIDENCIAL
8200000,El Marques Queretano,293,300,3,3,3,EL MARQUES QUERETANO
3300000,Juriquilla,108,106,3,2,2,JURIQUILLA
3500000,Paseos Del Pedregal,166,250,4,4,3,PASEOS DEL PEDREGAL
5899000,Paseos Del Pedregal,200,276,4,4,3,PASEOS DEL PEDREGAL
7977000,"Juriquilla, Queretaro, Queretaro",250,273,4,6,3,JURIQUILLA
3550000,"Del Cimatario 25, Villas Del Cimatario, Constelacion, 76087 , Qro., Mexico, Villas Del Cimatario",170,191,3,2,2,VILLAS DEL CIMATARIO
2650000,"Anillo Vial Fray Junipero Serra 2080, Valle De Juriquilla Ii, 76230 Juriquilla, Qro., Mexico, Juriquilla Santa Fe",90,180,3,3,2,VALLE DE JURIQUILLA
4300000,El Marques,300,245,3,3,3,EL MARQUES
3300000,"Juriquilla, Queretaro, Queretaro",155,190,3,3,2,JURIQUILLA
3300000,Juriquilla,149,165,3,2,2,JURIQUILLA
6600000,El Campanario,250,320,3,4,3,EL CAMPANARIO
4150000,Centro Sur,120,174,3,2,2,CENTRO SUR
3280000,"Ermita 13_l88, Alamos 2da Secc, 76160 , Qro., Mexico, Alamos 2a Secc",180,124,3,2,2,ALAMOS 2
9500000,Alamos 3a Seccion,300,425,4,5,3,ALAMOS 3
6750000,Cumbres del Cimatario,358,332,3,3,3,CIMATARIO
7600000,"Residencial Mallorca, Cimatario",301,441,4,4,3,CIMATARIO
7950000,"Anillo Vial Fray Junipero Serra, Altozano el Nuevo Queretaro",360,360,3,3,3,FRAY JUNIPERO SERRA
6750000,"Juriquilla, Queretaro, Queretaro",180,228,3,4,2,JURIQUILLA
3250000,"Ciudad Meseta, Queretaro, Queretaro",152,167,3,2,3,QUERETARO
2750000,Residencial El Refugio,124,144,3,2,2,EL REFUGIO
4790000,Residencial El Refugio,160,272,4,4,3,EL REFUGIO
5390000,El Campanario,160,272,4,4,3,EL CAMPANARIO
3300000,"Juriquilla, Queretaro, Queretaro",275,284,4,4,3,JURIQUILLA
3300000,"Juriquilla, Queretaro, Queretaro",132,170,3,4,2,JURIQUILLA
3400000,Juriquilla,170,178,3,2,2,JURIQUILLA
3500000,"Juriquilla, Queretaro, Queretaro",160,245,4,4,2,JURIQUILLA
4300000,"Ave Portones Sn, Juriquilla",213,235,3,3,2,JURIQUILLA
6190000,"Privada Cascada De Agua Azul  199, Real De Juriquilla, Queretaro, Queretaro",250,250,4,5,2,REAL DE JURIQUILLA
5550000,Residencial El Refugio,250,296,4,6,2,EL REFUGIO
4950000,Juriquilla,240,300,3,5,3,JURIQUILLA
3351753,"Juriquilla, Queretaro, Queretaro",116,106,3,2,2,JURIQUILLA
4500000,"Real De Juriquilla, Queretaro, Queretaro",178,189,4,4,3,REAL DE JURIQUILLA
2800000,"Juriquilla, Queretaro, Queretaro",130,159,3,2,2,JURIQUILLA
3300000,"Oax 122, San Pablo",189,174,3,2,2,SAN PABLO
5890000,"Av. Los Portones, Juriquilla, Juriquilla Santa Fe",300,265,4,4,3,SANTA FE
3300000,"Juriquilla, Queretaro, Queretaro",104,260,1,2,2,JURIQUILLA
3780000,Centro,200,115,2,3,3,CENTRO
749000,"Juriquilla, Juriquilla",449,449,4,3,3,JURIQUILLA
2800000,Residencial El Refugio,91,147,3,2,2,EL REFUGIO
3300000,El Marques,142,126,3,2,3,EL MARQUES
4900000,Juriquilla,191,198,4,2,3,JURIQUILLA
3300000,"Juriquilla, Queretaro, Queretaro",165,200,4,4,3,JURIQUILLA
4200000,Residencial El Refugio,165,188,4,4,3,EL REFUGIO
3800000,El Mirador,231,193,3,2,2,EL MIRADOR
3300000,"Juriquilla, Queretaro, Queretaro",160,240,4,4,2,JURIQUILLA
3300000,"Juriquilla, Queretaro, Queretaro",145,121,3,2,2,JURIQUILLA
3750000,Residencial El Refugio,123,223,3,2,2,EL REFUGIO
3690000,Residencial El Refugio,128,166,3,2,2,EL REFUGIO
2385000,"Fracc. Sonterra, Queretaro, Queretaro",107,163,3,2,2,SONTERRA
3300000,El Marques Queretano,108,92,3,2,2,EL MARQUES QUERETANO
3300000,"Juriquilla, Queretaro, Queretaro",128,118,3,2,2,JURIQUILLA
1413200,"Lago Yalahan 237, Cumbres Del Lago",250,320,4,3,2,CUMBRES DEL LAGO
26500000,El Campanario,725,564,4,5,7,EL CAMPANARIO
7750000,La Vista Residencial,183,250,3,4,2,LA VISTA RESIDENCIAL
21800000,Paseos Del Pedregal,556,522,4,5,4,PASEOS DEL PEDREGAL
12600000,Paseos Del Pedregal,303,372,3,3,3,PASEOS DEL PEDREGAL
4950000,La Vista Residencial,180,215,3,3,2,LA VISTA RESIDENCIAL
5772000,Juriquilla,225,248,4,4,3,JURIQUILLA
11790000,Paseos Del Pedregal,264,343,4,5,3,PASEOS DEL PEDREGAL
9300000,La Vista Residencial,246,374,4,6,3,LA VISTA RESIDENCIAL
3850000,Calesa 2a Seccion,160,188,4,2,3,CALESA 2A SECCION
4750000,"Casa En Venta En Los Robles Zibata Ii (casa Encino), Queretaro, Queretaro",182,0,3,3,2,LOS ROBLES
17950000,Alamos 1a Seccion,538,900,4,5,2,ALAMOS 1
4975000,Juriquilla,264,239,3,3,2,JURIQUILLA
7800000,"Casa En Venta En Cumbres Del Lago Juriquilla (nueva)., Cumbres Del Lago, Queretaro, Queretaro",480,0,4,4,6,JURIQUILLA
21800000,Casa En Venta En Altozano,556,0,4,4,4,ALTOZANO
12390000,"Casa En Venta En La Vista Residencial, La Vista Residencial",405,0,4,4,3,LA VISTA RESIDENCIAL
11790000,Casa En Venta En Altozano En Condominio Fogata,343,0,4,4,3,ALTOZANO
3000000,Fray Junipero Serra,185,134,3,2,2,FRAY JUNIPERO SERRA
4900000,"Casa En Venta En Los Robles Zibata Ii (casa Olivo), Queretaro, Queretaro",189,0,4,3,2,LOS ROBLES
5550000,Cumbres Del Lago,312,323,3,4,0,CUMBRES DEL LAGO
5900000,Corregidora,200,297,3,2,3,CORREGIDORA
22000000,Casa En Venta En Centro Queretaro Gis 25-704,751,751,5,4,7,CENTRO
3400000,Cuesta Bonita,187,240,3,3,2,CUESTA BONITA
5650000,La Condesa,285,317,4,4,3,LA CONDESA
3300000,"Paso De Los Toros 1481, El Refugio, , El Refugio Residencial",178,178,3,2,2,EL REFUGIO
3300000,"Sendero De La Espuela 27, Lomas De Carretas",130,240,4,4,2,CARRETAS
4999999,"Cumbres Del Lago, Queretaro, Queretaro",300,330,3,4,3,CUMBRES DEL LAGO
974000,"Parque Cimatario, El Garambullo",102,102,3,2,2,CIMATARIO
974001,"Garambullo, Valle De Santiago, , Santiago",102,102,3,2,2,VALLE DE SANTIAGO
849000,"Lago Chacamax 110, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",360,360,4,4,3,JURIQUILLA
849000,"Lago Yalahan 240, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",340,340,4,4,4,JURIQUILLA
849000,"Lago Yalahan 198, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",360,360,3,2,2,JURIQUILLA
849000,"De La Mesa 205, Villas Del Meson, Juriquilla, Villas Del Meson",300,300,4,3,3,VILLAS DEL MESON
3300000,"Juriquilla, Queretaro, Queretaro",147,144,3,2,2,JURIQUILLA
16150000,Paseos Del Pedregal,479,403,4,5,3,PASEOS DEL PEDREGAL
11790000,"Montes Blancos, Cumbres De Juriquilla, Juriquilla",264,343,4,4,3,JURIQUILLA
3000000,"1a Cda. De Altozano, Altozano el Nuevo Queretaro",126,147,3,2,0,ALTOZANO
10120000,Paseos Del Pedregal,300,370,3,4,3,PASEOS DEL PEDREGAL
13750000,Fray Junipero Serra,465,425,4,3,3,FRAY JUNIPERO SERRA
8750000,"Lago Yuriria 303, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",323,277,4,5,4,JURIQUILLA
849000,"Blvrd Peña Flor, Ciudad Del Sol, , Ciudad del Sol",340,340,4,4,2,CIUDAD DEL SOL
1350000,"Lago Cuitzeo 202, Cumbres Del Lago, Juriquilla, Cumbres Del Lago, Queretaro, Queretaro",75,75,3,2,2,JURIQUILLA
749000,"Lago Patzcuaro, Cumbres Del Lago, Juriquilla, Juriquilla, Queretaro, Queretaro",317,317,4,3,2,JURIQUILLA
1350000,", Ciudad del Sol",317,300,3,1,2,CIUDAD DEL SOL
1350000,"Av. Mirador De Las Ranas, El Mirador, El Mirador",75,75,3,2,1,EL MIRADOR
1900000,"Calz. De Belen, San Jose El Alto, San Jose El Alto",123,123,3,1,1,SAN JOSE EL ALTO
930000,Paseos Del Pedregal,117,117,3,1,1,PASEOS DEL PEDREGAL
5970000,Milenio III,180,220,4,4,2,MILENIO III
4400000,Residencial El Refugio,198,274,5,4,2,EL REFUGIO
2700000,Milenio III,113,127,3,2,2,MILENIO III
4500000,Paseos Del Pedregal,232,192,2,3,2,PASEOS DEL PEDREGAL
11790000,"Anillo Vial Fray Junipero Serra, , Altozano el Nuevo Queretaro",264,343,4,4,3,FRAY JUNIPERO SERRA
6750000,El Mirador,235,185,3,4,2,EL MIRADOR
3850000,El Marques,128,174,4,3,2,EL MARQUES
3300000,"Limba, Galindas Residencial, Queretaro, Queretaro",113,121,3,2,2,GALINDAS RESIDENCIAL
3800000,"Blvrd Peña Flor, Ciudad Del Sol, , Ciudad del Sol",160,181,4,3,2,CIUDAD DEL SOL
1350000,"Av. Mirador De Las Ranas, El Mirador, El Mirador",75,125,3,2,1,EL MIRADOR
1370000,"Mar Caspio, Las Fuentes",123,123,3,1,2,LAS FUENTES
1300000,"Sendero Del Nicho  10, Milenio III",28,56,2,1,1,MILENIO III
1520000,Lomas de Juriquilla,75.8,75.8,2,2,1,LOMAS DE JURIQUILLA
3300000,"Santa Cecilia 121, Valle de Juriquilla",250,410,4,5,3,VALLE DE JURIQUILLA
4490000,"Priv. Cedros, Jurica, , Jurica",160,225,3,3,2,JURICA
9200000,"Azhala  224, Zibata, Queretaro, Queretaro",420,293,4,3,2,QUERETARO
3750000,"Hacienda Juriquilla Santa Fe, Juriquilla, Queretaro, Queretaro",170,163,3,2,2,SANTA FE
4300000,"Paso De Los Toros, Residencial El Refugio, Queretaro, Queretaro",294,294,3,3,3,EL REFUGIO
3190000,"Avenida Senda Magica, Milenio III, Queretaro, Queretaro",254,148,3,2,2,MILENIO III
530000,"Lago De Chapala 110, Juriquilla, Queretaro, Queretaro",310,230,4,2,2,JURIQUILLA
640000,"Cerrada Ciruelos, Jurica, Queretaro, Queretaro",400,400,6,4,3,JURICA
705000,"Olivo No. 100, San Isidro Ii, Real De Juriquilla (Diamante), Queretaro, Queretaro",350,440,4,3,2,SAN ISIDRO
2490000,"Av. De Los Santos  1100  - 50, El Campanario, Queretaro, Queretaro",128.05,118,3,2,2,EL CAMPANARIO
10500000,"Jardin Del Mayorazgo 200, Zibata, Queretaro, Queretaro",294.71,303.09,3,3,3,QUERETARO
4660000,"Reserva Limba, Real De Juriquilla (Diamante), Queretaro, Queretaro",230.3,278.88,3,3,2,REAL DE JURIQUILLA (DIAMANTE)
4300000,"Mayorazgo 100, Zibata, Queretaro, Queretaro",205,214,4,4,3,QUERETARO
5000000,"Avenida La Vista 1100, La Vista Residencial, Queretaro, Queretaro",240.07,276.69,3,2,2,LA VISTA RESIDENCIAL
4680000,"Balcones Del Acueducto, Queretaro, Queretaro",200,239,3,2,2,BALCONES DEL ACUEDUCTO
7490000,"Mayorazgo 100, Zibata, Queretaro, Queretaro",325,355,3,4,3,QUERETARO
5400000,"Dos Peñas 1100, El Refugio Residencial, Queretaro, Queretaro",234.22,250.13,3,2,2,EL REFUGIO
6350000,"Begoña 500, El Refugio Residencial, Queretaro, Queretaro",254.96,310,3,2,2,EL REFUGIO
3400000,"Circuito Ceiba, Zibata, Queretaro, Queretaro",131.68,195.54,3,2,2,QUERETARO
750000,"Cerro Loreto, Colinas Del Cimatario, Queretaro, Queretaro",200,200,200,3,4,COLINAS DEL CIMATARIO
699000,"C. Cerro Del Aguila 132, Santiago, Queretaro, Queretaro",230,230,4,2,2,SANTIAGO
650000,"Hacienda De Chichimequillas, Villas Del Meson, Queretaro, Queretaro",500,500,5,4,4,VILLAS DEL MESON
890000,"Calle Sta. Fe 45, Juriquilla, Queretaro, Queretaro",450,400,4,2,2,JURIQUILLA
708500,"Blvd. Jurica La Campana 1167, Jurica, Queretaro, Queretaro",150,150,4,3,2,LA CAMPANA
750000,"Lago Chacamax 125, Juriquilla, Queretaro, Queretaro",375,375,5,4,2,JURIQUILLA
782000,"Lago De Chapala 132, Juriquilla, Queretaro, Queretaro",380,350,4,4,3,JURIQUILLA
700000,"Cerro Loreto, Colinas Del Cimatario, Queretaro, Queretaro",220,217,3,3,2,COLINAS DEL CIMATARIO
699000,"Cascada Del Encanto 200, Real De Juriquilla, Queretaro, Queretaro",230,230,4,2,3,REAL DE JURIQUILLA
3350000,"Quetzal, Calesa, Queretaro, Queretaro",300,170,3,2,2,CALESA
510000,"Boulevard Jurica La Campana, Juriquilla, Queretaro, Queretaro",175,200,4,2,2,LA CAMPANA
750000,"Lago Chacamax 110, Juriquilla, Queretaro, Queretaro",375,375,5,3,4,JURIQUILLA
800000,"Avenida Valle De Araquil 100, Zibata, Queretaro, Queretaro",700,654,5,4,4,QUERETARO
5500000,"Queretaro, Queretaro",148.5,245,3,3,3,QUERETARO
2750000,"Claustros De La Catedral, Claustros De La Catedral, Queretaro, Queretaro",108,112,3,3,2,CLAUSTROS DE LA CATEDRAL
6100000,"El Campanario, Queretaro, Queretaro",254,0,3,5,2,EL CAMPANARIO
25000000,"Paseos Del Pedregal, Queretaro, Queretaro",839,635,4,4,8,PASEOS DEL PEDREGAL
21800000,"Rincon De Fray Juan, Cimatario, Queretaro, Queretaro",556,525,4,5,4,CIMATARIO
5300000,"Av. Jaime Sabines, Otros, Queretaro, Queretaro",294.71,262.36,4,2,2,QUERETARO
2100000,"100da Cerrada De Altozano, San Pedrito El Alto, Queretaro, Queretaro",108.07,118.73,3,2,2,SAN PEDRITO EL ALTO
6700000,"Rancho Largo, Juriquilla, Queretaro, Queretaro",180,250,3,3,2,RANCHO LARGO
795000,"Avenida Cumbres De Juriquilla, Juriquilla, Queretaro, Queretaro",450,310,4,3,4,JURIQUILLA
13990000,"Alamos 3a Seccion, Queretaro, Queretaro",280,460,3,5,3,ALAMOS 3
4990000,"Reserva Malpeo No. 100, Bio Grand Etapa Ii, Real De Juriquilla (Diamante), Queretaro, Queretaro",250,240,3,2,3,REAL DE JURIQUILLA (DIAMANTE)
2810000,"Olivo No. 100 San Isidro, Real De Juriquilla, Queretaro, Queretaro",145.77,132,3,2,2,SAN ISIDRO
5790000,"Residencial El Refugio, Queretaro, Queretaro",183,203,3,3,2,EL REFUGIO
2340000,"Altos Juriquilla, Juriquilla, Queretaro, Queretaro",126,0,3,2,2,JURIQUILLA
3490000,"Circuito Pedernal Picacho, Otros, Queretaro, Queretaro",130,200,3,2,0,QUERETARO
7248750,"Reserva Zorzal No. 100, Bio Grand Etapa Ii, Real De Juriquilla (Diamante), Queretaro, Queretaro",203.47,325,3,5,2,REAL DE JURIQUILLA (DIAMANTE)
2840000,"Circuito Altos Juriquilla, Otros, Queretaro, Queretaro",128,133,3,2,2,JURIQUILLA
2835000,"Zibata, Zibata, Queretaro, Queretaro",146.53,143.85,3,2,2,QUERETARO
3606000,"Campanario De San Agustin 200, El Campanario, Queretaro, Queretaro",134,123,3,2,2,EL CAMPANARIO
367500,"Angeles, Los Candiles",50,80,2,1,1,ANGELES
1600000,Jurica,90,90,3,2,2,JURICA
1630000,Centro,192,144,3,3,2,CENTRO
5400000,"Avenida Palma Cocotera, Palmares",310,260,3,3,2,PALMARES
8000000,"Ex-hacienda El Tintero, Ex-Hacienda El Tintero",170,237,2,2,0,EX-HACIENDA EL TINTERO
750000,"Av Bellavista 2061, 76134 , Qro., Mexico, Rancho Bellavista",195,195,3,2,1,RANCHO BELLAVISTA
550000,"Av. Marques De Tenerife 742, Real del Marques Residencial",126,119,3,2,1,REAL DEL MARQUES RESIDENCIAL
610000,"Senda De La Aurora, Angeles",98,67,2,1,1,LA AURORA
3300000,", Centro",90,102,3,2,2,CENTRO
1220000,", Centro",110,180,3,1,2,CENTRO
2750000,Residencial El Refugio,114,114,3,2,2,EL REFUGIO
7350000,"Lomas de Juriquilla, Queretaro, Queretaro",278,329,4,5,3,LOMAS DE JURIQUILLA
2850000,Centro,108,122,3,2,2,CENTRO
7800000,"Fundadores, Los Fundadores",165,310,4,5,3,FUNDADORES
351000,"Avenida Santa Catarina, Villas Del Meson",123,280,5,3,1,VILLAS DEL MESON
749000,"Jose Villaumbrales, Hidalgo",523,523,4,3,4,HIDALGO
357000,Jurica,100,100,3,1,1,JURICA
6800000,Centro,516,724,6,5,3,CENTRO
12650000,Jurica,330,354,4,3,0,JURICA
3300000,"Cerro El Nabo 319, Juriquilla, Queretaro, Mexico, Juriquilla Privada",310,260,3,3,4,JURIQUILLA PRIVADA
5700000,San Francisco Juriquilla,321,354,4,4,2,SAN FRANCISCO JURIQUILLA
960000,"Calle Mar De Alaska 10, Las Hadas",476,215,3,2,4,LAS HADAS
3600000,Mision de San Jeronimo,195,182,3,3,2,MISION DE SAN JERONIMO
8390000,"Granito 3200, Paseos Del Pedregal",247,256,3,2,3,PASEOS DEL PEDREGAL
883300,"C. Pedro Escobedo, Mercurio",316,450,3,3,2,MERCURIO
860000,"Cerro De Acasulco, Colinas Del Cimatario",100,100,3,2,2,COLINAS DEL CIMATARIO
1340000,Vista Hermosa,160,185,3,3,2,VISTA HERMOSA
5995900,"Prudencia Grifel 714, La Joya",288,388,3,3,2,LA JOYA
1250000,"C. Literatura 1 - 300, Ex-Hacienda El Tintero",326,486,4,4,2,EX-HACIENDA EL TINTERO
1105000,"Angeles, Candiles",126,120,3,1,1,ANGELES
900000,Paseos Del Pedregal,250,320,4,3,2,PASEOS DEL PEDREGAL
3400000,"Blvd. Jurica La Campana 1167, Juriquilla, Juriquilla",120,120,3,2,2,LA CAMPANA
5000000,"Av. Piramide De La Luna 227, 76908 El Pueblito, Qro., Mexico, Candiles",190,0,3,2,2,LA LUNA
949000,"C. Literatura 126, El Tintero",180,205,3,2,2,EL TINTERO
761993,"Punta Nte. 156, Ciudad del Sol",550,550,5,4,4,CIUDAD DEL SOL
1110900,"Cerro De Acasulco 107, Colinas Del Cimatario, , Colinas Del Cimatario",130,190,3,2,1,COLINAS DEL CIMATARIO
980900,"Areca 128, Los Robles",126,120,3,1,1,LOS ROBLES
730000,"Av. Pie De La Cuesta 3000 - 3300, Paseos Del Pedregal",74,132,3,1,1,PASEOS DEL PEDREGAL
3300000,"Blvrd Privada Juriquilla 153, Juriquilla, Juriquilla",395,395,4,4,3,JURIQUILLA
849000,"Av Senda Magica 73, Milenio III",100,100,3,2,2,MILENIO III
640000,"Fracc. Sonterra, Queretaro, Queretaro",342,342,4,3,2,SONTERRA
1415004,"Queretaro 540, Villas De Santiago",127,127,4,2,2,VILLAS DE SANTIAGO
2835000,"Cto. Mirador Del Campanario 1117, El Campanario",200,260,4,3,2,EL CAMPANARIO
350000,"Alfonso Ponce, Hidalgo, , Los Fundadores",157,152,2,2,2,HIDALGO
870000,Residencial El Refugio,90,160,3,2,2,EL REFUGIO
351000,Jurica,90,120,3,2,1,JURICA
4350000,Cumbres del Cimatario,100,100,3,2,2,CIMATARIO
22550000,"Av Pie De La Cuesta 1500 40, Cuesta Azul",200,180,4,3,3,CUESTA AZUL
3300000,Residencial El Refugio,144,177,3,2,3,EL REFUGIO
2700000,Cumbres Del Lago,135,210,3,2,2,CUMBRES DEL LAGO
9600000,Lomas de Juriquilla,270,357,4,4,2,LOMAS DE JURIQUILLA
7950000,Cumbres del Cimatario,251,431,5,5,3,CIMATARIO
6250000,Milenio III,300,435,3,4,3,MILENIO III
8500000,Lomas de Juriquilla,385,730,4,5,4,LOMAS DE JURIQUILLA
5200000,Paseos Del Pedregal,250,300,4,4,3,PASEOS DEL PEDREGAL
16150000,"P.º Cta. Bonita 70, Cuesta Bonita",450,1,3,3,3,CUESTA BONITA
607929,Milenio III,100,130,3,3,2,MILENIO III
3780000,Residencial El Refugio,166,251,4,5,3,EL REFUGIO
3300000,"Fracc. Sonterra, Queretaro, Queretaro",140,178,4,3,2,SONTERRA
2490000,Milenio III,128,124,3,2,2,MILENIO III
2420000,Residencial Parque La Gloria,111,127,3,3,2,RESIDENCIAL PARQUE LA GLORIA
3400000,Milenio III,203,223,3,2,3,MILENIO III
3300000,Juriquilla,151,104,3,3,2,JURIQUILLA
3980000,"Cumbres Del Lago, Queretaro, Queretaro",189,235,5,4,3,CUMBRES DEL LAGO
2160500,Jurica,90,109,3,2,2,JURICA
6297000,Centro,150,250,3,3,2,CENTRO
5900000,"Juriquilla, Queretaro, Queretaro",200,297,3,2,6,JURIQUILLA
